algoritmo,clase,precision,recall_sensitivity,f1_score,support
Random Forest,Riesgo Alto,1.0,0.8333333333333334,0.9090909090909091,6
Random Forest,Riesgo Bajo,0.8,1.0,0.8888888888888888,8
Random Forest,Riesgo Medio,0.8888888888888888,0.8,0.8421052631578947,10
SVM,Riesgo Alto,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
SVM,Riesgo Bajo,1.0,0.875,0.9333333333333333,8
SVM,Riesgo Medio,0.8181818181818182,0.9,0.8571428571428571,10
XGBoost,Riesgo Alto,0.8,0.6666666666666666,0.7272727272727273,6
XGBoost,Riesgo Bajo,0.8,1.0,0.8888888888888888,8
XGBoost,Riesgo Medio,0.7777777777777778,0.7,0.7368421052631579,10
Red Neuronal,Riesgo Alto,0.8,0.6666666666666666,0.7272727272727273,6
Red Neuronal,Riesgo Bajo,1.0,1.0,1.0,8
Red Neuronal,Riesgo Medio,0.8181818181818182,0.9,0.8571428571428571,10
